text,label
"Olá, feliz Natal! Tudo de bom para você e sua família.",Improdutivo
Recebemos o relatório anexo. Precisa ser atualizado até segunda-feira.,Produtivo
Gostaria de saber o status do chamado 12345,Produtivo
"Muito obrigado pelo suporte, ótima semana!",Improdutivo
Anexo o contrato assinado. Favor confirmar recebimento.,Produtivo
Parabéns pelo trabalho!,Improdutivo
"Temos um erro crítico no sistema X, precisamos de correção urgente.",Produtivo
Segue proposta comercial para sua avaliação.,Produtivo
Bom dia! Desejo um ótimo fim de semana.,Improdutivo
Precisamos reagendar a reunião para terça-feira.,Produtivo
Boa noite a todos,Improdutivo
Ótima semana para todos,Improdutivo
Confirmar recebimento do contrato assinado,Produtivo
O sistema precisa de manutenção corretiva,Produtivo
Bom jogo hoje,Improdutivo
Boa sorte na sua prova,Improdutivo
Parabéns pelo trabalho,Improdutivo
Revisar a documentação antes da entrega,Produtivo
Revisar a documentação antes da entrega,Produtivo
Aproveite o feriado,Improdutivo
Precisamos revisar os testes automatizados,Produtivo
Enviar apresentação atualizada para o time,Produtivo
Feliz aniversário,Improdutivo
Agendar reunião com o cliente,Produtivo
Revisar a documentação antes da entrega,Produtivo
Atualizar status do projeto,Produtivo
Documentar a nova API,Produtivo
Até a próxima,Improdutivo
Precisamos finalizar o relatório até amanhã,Produtivo
Reunião marcada para as 14h,Produtivo
Boa noite a todos,Improdutivo
Revisar contrato com fornecedor,Produtivo
Desejo um excelente feriado,Improdutivo
Aproveite o feriado,Improdutivo
Ótima semana para todos,Improdutivo
Ótima semana para todos,Improdutivo
O bug reportado foi corrigido,Produtivo
Confirmar recebimento do contrato assinado,Produtivo
O bug reportado foi corrigido,Produtivo
Precisamos revisar os testes automatizados,Produtivo
Preparar proposta para nova parceria,Produtivo
Se cuida,Improdutivo
Revisar a documentação antes da entrega,Produtivo
Vamos almoçar juntos amanhã,Improdutivo
Reunião marcada para as 14h,Produtivo
Desejo um excelente feriado,Improdutivo
Documentar a nova API,Produtivo
O bug reportado foi corrigido,Produtivo
A entrega precisa ser feita até sexta-feira,Produtivo
Revisar a documentação antes da entrega,Produtivo
Submeter código para revisão no GitHub,Produtivo
Foi bom conversar com você,Improdutivo
Feliz aniversário,Improdutivo
Documentar a nova API,Produtivo
A entrega precisa ser feita até sexta-feira,Produtivo
Documentar a nova API,Produtivo
Foi bom conversar com você,Improdutivo
Boa noite a todos,Improdutivo
Boa noite a todos,Improdutivo
Preparar proposta para nova parceria,Produtivo
Novo pedido de compra precisa ser registrado,Produtivo
Até logo,Improdutivo
Curta bastante suas férias,Improdutivo
O deploy foi concluído com sucesso,Produtivo
Confirmar recebimento do contrato assinado,Produtivo
Bom jogo hoje,Improdutivo
Ótima semana para todos,Improdutivo
"O servidor apresentou instabilidade, abrir chamado",Produtivo
Revisar contrato com fornecedor,Produtivo
O sistema precisa de manutenção corretiva,Produtivo
Tenha um ótimo fim de semana,Improdutivo
Foi bom conversar com você,Improdutivo
Boa sorte na sua prova,Improdutivo
Revisar contrato com fornecedor,Produtivo
Sucesso sempre,Improdutivo
Revisar a documentação antes da entrega,Produtivo
Obrigado pelo apoio,Improdutivo
Até logo,Improdutivo
"O servidor apresentou instabilidade, abrir chamado",Produtivo
Revisar a documentação antes da entrega,Produtivo
Feliz aniversário,Improdutivo
Boa noite a todos,Improdutivo
Curta bastante suas férias,Improdutivo
Parabéns pelo trabalho,Improdutivo
Nos vemos no happy hour,Improdutivo
Boa sorte na sua prova,Improdutivo
Sucesso sempre,Improdutivo
Ótima semana para todos,Improdutivo
Bom jogo hoje,Improdutivo
Tenha um ótimo fim de semana,Improdutivo
Desejo um excelente feriado,Improdutivo
Revisar a documentação antes da entrega,Produtivo
"O servidor apresentou instabilidade, abrir chamado",Produtivo
Submeter código para revisão no GitHub,Produtivo
Vamos almoçar juntos amanhã,Improdutivo
Bom jogo hoje,Improdutivo
Curta bastante suas férias,Improdutivo
Bom jogo hoje,Improdutivo
Foi bom conversar com você,Improdutivo
Desejo um excelente feriado,Improdutivo
Reunião marcada para as 14h,Produtivo
Tenha um ótimo fim de semana,Improdutivo
Boa noite a todos,Improdutivo
Se cuida,Improdutivo
Nos vemos no happy hour,Improdutivo
Preparar proposta para nova parceria,Produtivo
Vamos almoçar juntos amanhã,Improdutivo
Novo pedido de compra precisa ser registrado,Produtivo
Aproveite o feriado,Improdutivo
Submeter código para revisão no GitHub,Produtivo
Tudo de bom para você,Improdutivo
Precisamos finalizar o relatório até amanhã,Produtivo
Revisar a documentação antes da entrega,Produtivo
Obrigado pelo apoio,Improdutivo
Até logo,Improdutivo
"O servidor apresentou instabilidade, abrir chamado",Produtivo
Parabéns pelo trabalho,Improdutivo
Desejo um excelente feriado,Improdutivo
Documentar a nova API,Produtivo
Boa sorte na sua prova,Improdutivo
Se cuida,Improdutivo
Reunião marcada para as 14h,Produtivo
Bom jogo hoje,Improdutivo
Parabéns pelo trabalho,Improdutivo
Confirmar recebimento do contrato assinado,Produtivo
Nos vemos no happy hour,Improdutivo
Feliz aniversário,Improdutivo
Bom descanso,Improdutivo
Reunião marcada para as 14h,Produtivo
Ótima semana para todos,Improdutivo
O deploy foi concluído com sucesso,Produtivo
Tenha um ótimo fim de semana,Improdutivo
Feliz aniversário,Improdutivo
Confirmar recebimento do contrato assinado,Produtivo
Submeter código para revisão no GitHub,Produtivo
Feliz aniversário,Improdutivo
Preparar proposta para nova parceria,Produtivo
Obrigado pelo apoio,Improdutivo
Se cuida,Improdutivo
Confirmar recebimento do contrato assinado,Produtivo
Aproveite o feriado,Improdutivo
Atualizar status do projeto,Produtivo
Se cuida,Improdutivo
Até logo,Improdutivo
Atualizar status do projeto,Produtivo
A entrega precisa ser feita até sexta-feira,Produtivo
Bom descanso,Improdutivo
Até a próxima,Improdutivo
Foi bom conversar com você,Improdutivo
Aproveite o feriado,Improdutivo
Nos vemos no happy hour,Improdutivo
Revisar contrato com fornecedor,Produtivo
Confirmar recebimento do contrato assinado,Produtivo
Boa sorte na sua prova,Improdutivo
Vamos almoçar juntos amanhã,Improdutivo
Feliz aniversário,Improdutivo
Nos vemos no happy hour,Improdutivo
Enviar apresentação atualizada para o time,Produtivo
Ótima semana para todos,Improdutivo
O deploy foi concluído com sucesso,Produtivo
A entrega precisa ser feita até sexta-feira,Produtivo
Foi bom conversar com você,Improdutivo
Feliz aniversário,Improdutivo
Foi bom conversar com você,Improdutivo
Até a próxima,Improdutivo
Submeter código para revisão no GitHub,Produtivo
Bom jogo hoje,Improdutivo
O deploy foi concluído com sucesso,Produtivo
A entrega precisa ser feita até sexta-feira,Produtivo
Confirmar recebimento do contrato assinado,Produtivo
O deploy foi concluído com sucesso,Produtivo
Revisar a documentação antes da entrega,Produtivo
Boa noite a todos,Improdutivo
Documentar a nova API,Produtivo
Precisamos revisar os testes automatizados,Produtivo
Reunião marcada para as 14h,Produtivo
Desejo um excelente feriado,Improdutivo
Documentar a nova API,Produtivo
Bom jogo hoje,Improdutivo
Obrigado pelo apoio,Improdutivo
A entrega precisa ser feita até sexta-feira,Produtivo
Curta bastante suas férias,Improdutivo
Novo pedido de compra precisa ser registrado,Produtivo
O sistema precisa de manutenção corretiva,Produtivo
Sucesso sempre,Improdutivo
Bom jogo hoje,Improdutivo
Sucesso sempre,Improdutivo
Confirmar recebimento do contrato assinado,Produtivo
Enviar nota fiscal ao financeiro,Produtivo
Obrigado pelo apoio,Improdutivo
Enviar apresentação atualizada para o time,Produtivo
Até logo,Improdutivo
Bom jogo hoje,Improdutivo
Enviar apresentação atualizada para o time,Produtivo
Ótima semana para todos,Improdutivo
Desejo um excelente feriado,Improdutivo
Vamos almoçar juntos amanhã,Improdutivo
Atualizar status do projeto,Produtivo
Boa noite a todos,Improdutivo
Até logo,Improdutivo
Até a próxima,Improdutivo
Tudo de bom para você,Improdutivo
Aproveite o feriado,Improdutivo
Bom jogo hoje,Improdutivo
Obrigado pelo apoio,Improdutivo
Ótima semana para todos,Improdutivo
